LotArea,OverallQual,YearRemodAdd,BsmtQual,BsmtFinSF1,TotalBsmtSF,FirststFlrSF,SecondndFlrSF,GrLivArea,GarageCars
8450,7,2003,Gd,706,856,856,854,1710,2
9600,6,1976,Gd,978,1262,1262,0,1262,2
11250,7,2002,Gd,486,920,920,866,1786,2
9550,7,1970,TA,216,756,961,756,1717,3
14260,8,2000,Gd,655,1145,1145,1053,2198,3
14115,5,1995,Gd,732,796,796,566,1362,2
10084,8,2005,Ex,1369,1686,1694,0,1694,2
10382,7,1973,Gd,859,1107,1107,983,2090,2
6120,7,1950,TA,0,952,1022,752,1774,2
7420,5,1950,TA,851,991,1077,0,1077,1
11200,5,1965,TA,906,1040,1040,0,1040,1
11924,9,2006,Ex,998,1175,1182,1142,2324,3
12968,5,1962,TA,737,912,912,0,912,1
10652,7,2007,Gd,0,1494,1494,0,1494,3
10920,6,1960,TA,733,1253,1253,0,1253,1
6120,7,2001,TA,0,832,854,0,854,2
11241,6,1970,TA,578,1004,1004,0,1004,2
10791,4,1967,,0,0,1296,0,1296,2
13695,5,2004,TA,646,1114,1114,0,1114,2
7560,5,1965,TA,504,1029,1339,0,1339,1
14215,8,2006,Ex,0,1158,1158,1218,2376,3
7449,7,1950,TA,0,637,1108,0,1108,1
9742,8,2002,Gd,0,1777,1795,0,1795,2
4224,5,1976,Gd,840,1040,1060,0,1060,2
8246,5,2001,TA,188,1060,1060,0,1060,1
14230,8,2007,Gd,0,1566,1600,0,1600,3
7200,5,2000,TA,234,900,900,0,900,2
11478,8,2008,Ex,1218,1704,1704,0,1704,3
16321,5,1997,TA,1277,1484,1600,0,1600,1
6324,4,1950,TA,0,520,520,0,520,1
8500,4,1950,TA,0,649,649,668,1317,1
8544,5,2006,TA,0,1228,1228,0,1228,1
11049,8,2007,Ex,0,1234,1234,0,1234,2
10552,5,1959,TA,1018,1398,1700,0,1700,2
7313,9,2005,Ex,1153,1561,1561,0,1561,2
13418,8,2005,Ex,0,1117,1132,1320,2452,3
10859,5,1995,Gd,0,1097,1097,0,1097,2
8532,5,1990,TA,1213,1297,1297,0,1297,2
7922,5,2007,TA,731,1057,1057,0,1057,1
6040,4,1955,,0,0,1152,0,1152,0
8658,6,1965,TA,643,1088,1324,0,1324,2
16905,5,1959,TA,967,1350,1328,0,1328,1
9180,5,1983,Gd,747,840,884,0,884,2
9200,5,1980,Gd,280,938,938,0,938,1
7945,5,1959,TA,179,1150,1150,0,1150,1
7658,9,2005,Ex,456,1752,1752,0,1752,2
12822,7,2003,Ex,1351,1434,1518,631,2149,2
11096,8,2006,Gd,24,1656,1656,0,1656,3
4456,4,2008,TA,0,736,736,716,1452,0
7742,5,1966,TA,763,955,955,0,955,1
13869,6,1997,Gd,182,794,794,676,1470,2
6240,6,1950,TA,0,816,816,0,1176,2
8472,5,1963,Gd,104,816,816,0,816,2
50271,9,1987,Ex,1810,1842,1842,0,1842,3
7134,5,1955,TA,384,384,1360,0,1360,2
10175,6,1964,TA,490,1425,1425,0,1425,2
2645,8,2000,Gd,649,970,983,756,1739,2
11645,7,2004,Gd,0,860,860,860,1720,2
13682,10,2006,Ex,0,1410,1426,1519,2945,3
7200,5,1972,TA,632,780,780,0,780,1
13072,6,2004,Gd,941,1158,1158,0,1158,2
7200,5,1996,TA,0,530,581,530,1111,1
6442,8,2006,Gd,24,1370,1370,0,1370,2
10300,7,1950,TA,0,576,902,808,1710,2
9375,7,1998,Gd,739,1057,1057,977,2034,2
9591,8,2005,Ex,0,1143,1143,1330,2473,3
19900,7,1989,Gd,912,1947,2207,0,2207,2
10665,7,2003,Gd,1013,1453,1479,0,1479,2
4608,4,1950,TA,0,747,747,0,747,1
15593,7,1953,TA,603,1304,1304,983,2287,2
13651,7,1973,Gd,1880,2223,2223,0,2223,2
7599,4,2006,TA,565,845,845,0,845,2
10141,7,1998,Gd,0,832,885,833,1718,2
10200,5,2003,TA,320,1086,1086,0,1086,2
5790,3,1950,Fa,0,840,840,765,1605,1
1596,4,1973,Gd,462,462,526,462,988,1
8475,4,1956,TA,228,952,952,0,952,1
8635,5,2001,TA,336,672,1072,213,1285,1
10778,4,1968,TA,0,1768,1768,0,1768,0
10440,5,1981,TA,0,440,682,548,1230,2
13000,6,1968,Gd,448,896,1182,960,2142,1
4500,6,1998,Ex,1201,1237,1337,0,1337,2
10206,8,2007,Gd,33,1563,1563,0,1563,3
8892,5,1960,TA,0,1065,1065,0,1065,2
8530,7,1996,Gd,0,384,804,670,1474,2
16059,8,1992,Gd,0,1288,1301,1116,2417,2
11911,6,2005,Gd,0,684,684,876,1560,2
3951,6,2009,Gd,0,612,612,612,1224,2
8470,3,1982,TA,0,1013,1013,0,1526,0
8070,4,1995,Gd,588,990,990,0,990,0
